Title,URL,Difficulty,Category
,,,
Climbing Stairs,https://leetcode.com/problems/climbing-stairs,Easy,1.Linear DP
,,,
Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Easy,1.Linear DP
,,,
Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs,Easy,1.Linear DP
,,,
Divisor Game,https://leetcode.com/problems/divisor-game,Easy,1.Linear DP
,,,
Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Hard,1.Linear DP
,,,
Student Attendance Record II,https://leetcode.com/problems/student-attendance-record-ii,Hard,1.Linear DP
,,,
Decode Ways II,https://leetcode.com/problems/decode-ways-ii,Hard,1.Linear DP
,,,
Triples with Bitwise AND Equal To Zero,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero,Hard,1.Linear DP
,,,
Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Hard,1.Linear DP
,,,
Minimum Number of Taps to Open to Water a Garden,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Hard,1.Linear DP
,,,
Count All Valid Pickup and Delivery Options,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options,Hard,1.Linear DP
,,,
Stone Game III,https://leetcode.com/problems/stone-game-iii,Hard,1.Linear DP
,,,
Restore The Array,https://leetcode.com/problems/restore-the-array,Hard,1.Linear DP
,,,
Form Largest Integer With Digits That Add up to Target,https://leetcode.com/problems/form-largest-integer-with-digits-that-add-up-to-target,Hard,1.Linear DP
,,,
Stone Game IV,https://leetcode.com/problems/stone-game-iv,Hard,1.Linear DP
,,,
Decode Ways,https://leetcode.com/problems/decode-ways,Medium,1.Linear DP
,,,
Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees,Medium,1.Linear DP
,,,
House Robber,https://leetcode.com/problems/house-robber,Medium,1.Linear DP
,,,
Perfect Squares,https://leetcode.com/problems/perfect-squares,Medium,1.Linear DP
,,,
Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,Medium,1.Linear DP
,,,
Coin Change,https://leetcode.com/problems/coin-change,Medium,1.Linear DP
,,,
Counting Bits,https://leetcode.com/problems/counting-bits,Medium,1.Linear DP
,,,
Integer Break,https://leetcode.com/problems/integer-break,Medium,1.Linear DP
,,,
Count Numbers with Unique Digits,https://leetcode.com/problems/count-numbers-with-unique-digits,Medium,1.Linear DP
,,,
Wiggle Subsequence,https://leetcode.com/problems/wiggle-subsequence,Medium,1.Linear DP
,,,
Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum,Medium,1.Linear DP
,,,
Maximum Length of Pair Chain,https://leetcode.com/problems/maximum-length-of-pair-chain,Medium,1.Linear DP
,,,
Best Time to Buy and Sell Stock with Transaction Fee,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,Medium,1.Linear DP
,,,
Delete and Earn,https://leetcode.com/problems/delete-and-earn,Medium,1.Linear DP
,,,
Domino and Tromino Tiling,https://leetcode.com/problems/domino-and-tromino-tiling,Medium,1.Linear DP
,,,
Knight Dialer,https://leetcode.com/problems/knight-dialer,Medium,1.Linear DP
,,,
Minimum Cost For Tickets,https://leetcode.com/problems/minimum-cost-for-tickets,Medium,1.Linear DP
,,,
Partition Array for Maximum Sum,https://leetcode.com/problems/partition-array-for-maximum-sum,Medium,1.Linear DP
,,,
Filling Bookcase Shelves,https://leetcode.com/problems/filling-bookcase-shelves,Medium,1.Linear DP
,,,
Longest Arithmetic Subsequence of Given Difference,https://leetcode.com/problems/longest-arithmetic-subsequence-of-given-difference,Medium,1.Linear DP
,,,
Greatest Sum Divisible by Three,https://leetcode.com/problems/greatest-sum-divisible-by-three,Medium,1.Linear DP
,,,
Profitable Schemes,https://leetcode.com/problems/profitable-schemes,Hard,2.Knapsack
,,,
Tallest Billboard,https://leetcode.com/problems/tallest-billboard,Hard,2.Knapsack
,,,
Pizza With 3n Slices,https://leetcode.com/problems/pizza-with-3n-slices,Hard,2.Knapsack
,,,
Reducing Dishes,https://leetcode.com/problems/reducing-dishes,Hard,2.Knapsack
,,,
House Robber II,https://leetcode.com/problems/house-robber-ii,Medium,2.Knapsack
,,,
Ones and Zeroes,https://leetcode.com/problems/ones-and-zeroes,Medium,2.Knapsack
,,,
Target Sum,https://leetcode.com/problems/target-sum,Medium,2.Knapsack
,,,
Shopping Offers,https://leetcode.com/problems/shopping-offers,Medium,2.Knapsack
,,,
2 Keys Keyboard,https://leetcode.com/problems/2-keys-keyboard,Medium,2.Knapsack
,,,
Minimum Swaps To Make Sequences Increasing,https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing,Medium,2.Knapsack
,,,
Best Team With No Conflicts,https://leetcode.com/problems/best-team-with-no-conflicts,Medium,2.Knapsack
,,,
Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,Hard,3.Multi Dimensions DP
,,,
Create Maximum Number,https://leetcode.com/problems/create-maximum-number,Hard,3.Multi Dimensions DP
,,,
Frog Jump,https://leetcode.com/problems/frog-jump,Hard,3.Multi Dimensions DP
,,,
Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum,Hard,3.Multi Dimensions DP
,,,
Freedom Trail,https://leetcode.com/problems/freedom-trail,Hard,3.Multi Dimensions DP
,,,
Minimum Number of Refueling Stops,https://leetcode.com/problems/minimum-number-of-refueling-stops,Hard,3.Multi Dimensions DP
,,,
Number of Music Playlists,https://leetcode.com/problems/number-of-music-playlists,Hard,3.Multi Dimensions DP
,,,
Count Vowels Permutation,https://leetcode.com/problems/count-vowels-permutation,Hard,3.Multi Dimensions DP
,,,
Minimum Falling Path Sum II,https://leetcode.com/problems/minimum-falling-path-sum-ii,Hard,3.Multi Dimensions DP
,,,
Minimum Distance to Type a Word Using Two Fingers,https://leetcode.com/problems/minimum-distance-to-type-a-word-using-two-fingers,Hard,3.Multi Dimensions DP
,,,
Minimum Difficulty of a Job Schedule,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule,Hard,3.Multi Dimensions DP
,,,
Number of Ways to Paint N × 3 Grid,https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid,Hard,3.Multi Dimensions DP
,,,
Build Array Where You Can Find The Maximum Exactly K Comparisons,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons,Hard,3.Multi Dimensions DP
,,,
Number of Ways of Cutting a Pizza,https://leetcode.com/problems/number-of-ways-of-cutting-a-pizza,Hard,3.Multi Dimensions DP
,,,
Paint House III,https://leetcode.com/problems/paint-house-iii,Hard,3.Multi Dimensions DP
,,,
Count All Possible Routes,https://leetcode.com/problems/count-all-possible-routes,Hard,3.Multi Dimensions DP
,,,
Triangle,https://leetcode.com/problems/triangle,Medium,3.Multi Dimensions DP
,,,
Combination Sum IV,https://leetcode.com/problems/combination-sum-iv,Medium,3.Multi Dimensions DP
,,,
Out of Boundary Paths,https://leetcode.com/problems/out-of-boundary-paths,Medium,3.Multi Dimensions DP
,,,
Knight Probability in Chessboard,https://leetcode.com/problems/knight-probability-in-chessboard,Medium,3.Multi Dimensions DP
,,,
Champagne Tower,https://leetcode.com/problems/champagne-tower,Medium,3.Multi Dimensions DP
,,,
Largest Sum of Averages,https://leetcode.com/problems/largest-sum-of-averages,Medium,3.Multi Dimensions DP
,,,
Minimum Falling Path Sum,https://leetcode.com/problems/minimum-falling-path-sum,Medium,3.Multi Dimensions DP
,,,
Video Stitching,https://leetcode.com/problems/video-stitching,Medium,3.Multi Dimensions DP
,,,
Longest Arithmetic Subsequence,https://leetcode.com/problems/longest-arithmetic-subsequence,Medium,3.Multi Dimensions DP
,,,
Stone Game II,https://leetcode.com/problems/stone-game-ii,Medium,3.Multi Dimensions DP
,,,
Number of Dice Rolls With Target Sum,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum,Medium,3.Multi Dimensions DP
,,,
Dice Roll Simulation,https://leetcode.com/problems/dice-roll-simulation,Medium,3.Multi Dimensions DP
,,,
Number of Sets of K Non-Overlapping Line Segments,https://leetcode.com/problems/number-of-sets-of-k-non-overlapping-line-segments,Medium,3.Multi Dimensions DP
,,,
Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii,Hard,4.Interval DP
,,,
Burst Balloons,https://leetcode.com/problems/burst-balloons,Hard,4.Interval DP
,,,
Remove Boxes,https://leetcode.com/problems/remove-boxes,Hard,4.Interval DP
,,,
Strange Printer,https://leetcode.com/problems/strange-printer,Hard,4.Interval DP
,,,
Valid Permutations for DI Sequence,https://leetcode.com/problems/valid-permutations-for-di-sequence,Hard,4.Interval DP
,,,
Minimum Cost to Merge Stones,https://leetcode.com/problems/minimum-cost-to-merge-stones,Hard,4.Interval DP
,,,
Allocate Mailboxes,https://leetcode.com/problems/allocate-mailboxes,Hard,4.Interval DP
,,,
Minimum Cost to Cut a Stick,https://leetcode.com/problems/minimum-cost-to-cut-a-stick,Hard,4.Interval DP
,,,
Stone Game V,https://leetcode.com/problems/stone-game-v,Hard,4.Interval DP
,,,
Guess Number Higher or Lower II,https://leetcode.com/problems/guess-number-higher-or-lower-ii,Medium,4.Interval DP
,,,
Arithmetic Slices,https://leetcode.com/problems/arithmetic-slices,Medium,4.Interval DP
,,,
Predict the Winner,https://leetcode.com/problems/predict-the-winner,Medium,4.Interval DP
,,,
Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings,Medium,4.Interval DP
,,,
Stone Game,https://leetcode.com/problems/stone-game,Medium,4.Interval DP
,,,
Minimum Score Triangulation of Polygon,https://leetcode.com/problems/minimum-score-triangulation-of-polygon,Medium,4.Interval DP
,,,
